Timestamp,Tick,Encoder,X,Y,Z
2025-05-13T09:53:36.711,173407,0,33.000000,22.000000,1024.000000
2025-05-13T09:53:36.712,173408,0,33.000000,22.000000,1019.000000
2025-05-13T09:53:36.712,173409,0,-5.000000,42.000000,1019.000000
2025-05-13T09:53:36.712,173410,0,0.000000,37.000000,1004.000000
2025-05-13T09:53:36.712,173411,0,0.000000,37.000000,973.000000
2025-05-13T09:53:36.713,173412,0,43.000000,43.000000,976.000000
2025-05-13T09:53:36.713,173413,0,43.000000,18.000000,982.000000
2025-05-13T09:53:36.713,173414,0,31.000000,18.000000,982.000000
2025-05-13T09:53:36.714,173415,0,11.000000,22.000000,1025.000000
2025-05-13T09:53:36.714,173416,0,11.000000,22.000000,1003.000000
2025-05-13T09:53:36.715,173417,0,34.000000,35.000000,1003.000000
2025-05-13T09:53:36.715,173418,0,34.000000,40.000000,1014.000000
2025-05-13T09:53:36.715,173419,0,33.000000,40.000000,1014.000000
2025-05-13T09:53:36.716,173420,0,39.000000,44.000000,1021.000000
2025-05-13T09:53:36.716,173421,0,39.000000,44.000000,1020.000000
2025-05-13T09:53:36.716,173422,0,34.000000,21.000000,1020.000000
2025-05-13T09:53:36.717,173423,0,35.000000,19.000000,1001.000000
2025-05-13T09:53:36.717,173424,0,35.000000,19.000000,1001.000000
2025-05-13T09:53:36.718,173425,0,44.000000,16.000000,1020.000000
2025-05-13T09:53:36.718,173426,0,44.000000,22.000000,978.000000
2025-05-13T09:53:36.718,173427,0,-12.000000,22.000000,978.000000
2025-05-13T09:53:36.719,173428,0,-7.000000,16.000000,999.000000
2025-05-13T09:53:36.719,173429,0,-7.000000,16.000000,1027.000000
2025-05-13T09:53:36.720,173430,0,-1.000000,43.000000,1027.000000
2025-05-13T09:53:36.720,173431,0,-1.000000,36.000000,981.000000
2025-05-13T09:53:36.721,173432,0,43.000000,36.000000,981.000000
2025-05-13T09:53:36.721,173433,0,-10.000000,20.000000,979.000000
2025-05-13T09:53:36.721,173434,0,-10.000000,20.000000,1022.000000
2025-05-13T09:53:36.722,173435,0,32.000000,16.000000,1022.000000
2025-05-13T09:53:36.722,173436,0,34.000000,15.000000,1021.000000
2025-05-13T09:53:36.722,173437,0,34.000000,15.000000,1021.000000
2025-05-13T09:53:36.723,173438,0,35.000000,43.000000,1021.000000
2025-05-13T09:53:36.723,173439,0,35.000000,24.000000,980.000000
2025-05-13T09:53:36.724,173440,0,-4.000000,24.000000,980.000000
2025-05-13T09:53:36.724,173441,0,-4.000000,45.000000,1004.000000
2025-05-13T09:53:36.724,173442,0,-4.000000,45.000000,1001.000000
2025-05-13T09:53:36.725,173443,0,19.000000,43.000000,1001.000000
2025-05-13T09:53:36.725,173444,0,19.000000,43.000000,1014.000000
2025-05-13T09:53:36.726,173445,0,40.000000,43.000000,1014.000000
2025-05-13T09:53:36.726,173446,0,-10.000000,30.000000,978.000000
