Timestamp,X,Y,Z
2025-05-11T22:59:25,0.000000,-2.000000,-22.000000
2025-05-11T22:59:25,-14.000000,-27.000000,-22.000000
2025-05-11T22:59:25,-14.000000,-5.000000,-22.000000
2025-05-11T22:59:25,6.000000,-5.000000,-22.000000
2025-05-11T22:59:25,-46.000000,-2.000000,-49.000000
2025-05-11T22:59:25,-46.000000,-2.000000,10.000000
2025-05-11T22:59:25,2.000000,-3.000000,10.000000
2025-05-11T22:59:25,7.000000,-2.000000,-38.000000
2025-05-11T22:59:25,7.000000,-2.000000,-38.000000
2025-05-11T22:59:25,0.000000,-16.000000,-25.000000
2025-05-11T22:59:25,0.000000,-5.000000,-22.000000
2025-05-11T22:59:25,-34.000000,-5.000000,-22.000000
2025-05-11T22:59:25,2.000000,-8.000000,-3.000000
2025-05-11T22:59:25,2.000000,-8.000000,-41.000000
2025-05-11T22:59:25,6.000000,-12.000000,-41.000000
2025-05-11T22:59:25,6.000000,-25.000000,-66.000000
2025-05-11T22:59:25,13.000000,-25.000000,-66.000000
2025-05-11T22:59:25,0.000000,-22.000000,-24.000000
2025-05-11T22:59:25,0.000000,-22.000000,-39.000000
2025-05-11T22:59:25,-38.000000,-3.000000,-39.000000
2025-05-11T22:59:25,0.000000,-5.000000,-39.000000
2025-05-11T22:59:25,0.000000,-5.000000,-39.000000
2025-05-11T22:59:25,-1.000000,-28.000000,-28.000000
2025-05-11T22:59:25,-1.000000,-24.000000,-47.000000
2025-05-11T22:59:25,1.000000,-24.000000,-47.000000
2025-05-11T22:59:25,-2.000000,-4.000000,-42.000000
2025-05-11T22:59:25,-2.000000,-4.000000,2.000000
2025-05-11T22:59:25,9.000000,-8.000000,2.000000
2025-05-11T22:59:25,9.000000,0.000000,-66.000000
2025-05-11T22:59:25,9.000000,0.000000,-66.000000
2025-05-11T22:59:25,1.000000,-21.000000,-20.000000
2025-05-11T22:59:25,1.000000,-21.000000,-1.000000
2025-05-11T22:59:25,-2.000000,-1.000000,-1.000000
2025-05-11T22:59:25,-35.000000,-26.000000,-45.000000
2025-05-11T22:59:25,-35.000000,-26.000000,-45.000000
2025-05-11T22:59:25,0.000000,0.000000,-21.000000
2025-05-11T22:59:25,0.000000,-24.000000,-32.000000
2025-05-11T22:59:25,4.000000,-24.000000,-32.000000
